"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"HECO","Q1",2007,1,0,0,0,0,0,0,0,0,0,0,0,0,17.7966289547624,47.766037668854,117.789491445947,146.004863128916,420.847973718772,504.988064596609,390.134496021562,119.038941348557,24.4392640258034,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,3,3,4,3,1,11,1,7,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0.995304465021451,0.970643973547873,0.89697199139094,0.792876763094765,0.707593019871808,0.644086909883878,0.595380888629686,0.557012013990696,0.500678929698846,0.461481042213464,0.426598821716686,0.371120421024919,0.31324460796267,0.262960291761256,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4186104939104,178.10422658062,400.604094638262,500.190308871888,393.853809098307,222.094887956639,60.5398232701564,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,6,5,4,4,6,3,3,1,1,0,0,1,0.953032202980164,0.827494725314908,0.751614850357331,0.703438581203254,0.670489233276656,0.646624415527894,0.628573554134878,0.598313970102424,0.567900043458664,0.507508415964667,0.464984129062056,0.434039901433146,0.410677009716183,0.392474302063619,0.377919262897379,0.356139267446836,0.340648785557938,0.329080823098727,0.314143938207166,0.289267962902763,0.253805216883362,0.219587368420775,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,11,0,0,0,0,0,0,0.000637680642008647,5.64276581943257,15.8319299202617,22.945183203921,73.2078039836083,141.154655487614,228.749663081141,222.303881138182,252.889751401588,210.308296955181,431.716613509191,183.97030823216,0.0842704968613361,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,2,2,4,4,5,3,5,7,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992488477309823,0.962632383179282,0.911008004545927,0.786261807209022,0.634346628497192,0.496944269622734,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,12,0,0,0,0,0,0,0,0,0,0,0,0,17.4140183167529,72.6733744156056,90.6786727804672,204.883344789354,465.718271756045,478.240796545528,325.30737696794,133.889905338092,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,3,1,4,5,1,4,3,7,4,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.988736111032912,0.912234529870961,0.829332014006488,0.757599878426455,0.700560524085101,0.616511773591885,0.558038752323234,0.473682940618089,0.388320681343794,0.318345429894134,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,13,0,0,0,0,0,0,0,0,0,0,0,0,15.1869282021552,68.9632048102085,133.318705386228,208.511890280944,469.994140525194,455.324316567249,346.941947528123,90.5646276096809,0,0,0,0,0,0,0,1,0,0,1,2,2,0,2,1,3,2,3,3,5,1,6,4,5,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.98553148384961,0.939340920160104,0.866029535342104,0.793610900429873,0.733139961552058,0.643431247191481,0.572583643054532,0.479542798446177,0.390391396006148,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1237574268204,136.140735399289,362.016898805574,525.040831564555,410.539007122002,299.783627786345,42.1609028051996,0,0,0,0,0,0,0,0,1,1,2,1,0,1,2,2,1,4,4,0,4,4,6,7,0,1,1,0,0,0,1,1,1,0.953513227327256,0.883350222500851,0.827958585671234,0.785321026021231,0.751993188621341,0.725397063596547,0.703751883264193,0.625272698770848,0.562618134931376,0.516651410405692,0.481973019834642,0.455034157162501,0.433569118817124,0.401608216952628,0.379014690155956,0.362120632225103,0.335329480438133,0.299604229839116,0.258474865035227,0.220897538594952,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,2,0,0,0,0,0,0,0,0,0,0,13.4172000278352,44.390551537686,105.217946207188,147.020819852607,249.200885109641,275.156060225391,443.142160213352,441.317402636602,69.5230004093848,0.419734690096675,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,4,5,6,3,2,3,8,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.976459768745381,0.912848154481693,0.841077515491999,0.77592669145006,0.678099648724408,0.596733070833847,0.485832903492406,0.392143968111477,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9501324086797,304.290538575001,521.38253050539,434.884731540756,422.758556394385,55.5392714855716,0,0,0,0,0,1,0,1,1,0,0,2,1,2,1,2,3,3,1,4,3,2,6,5,1,2,1,0,0,0,0.640461599850972,0.570673027281404,0.547169725942149,0.535391277838646,0.528318477047453,0.523601212497459,0.520230726875668,0.517702439717866,0.51573588394661,0.514162570573091,0.511330452489806,0.509442263757354,0.508093503639727,0.507081904084635,0.50268012049955,0.488862735748503,0.456690741594632,0.411701891752645,0.370300048310335,0.334897073801498,0.30478060351828,0.262356423890584,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67629743898444,61.5458797122074,256.428344492067,457.984452729898,480.870518563977,355.589644826071,171.710623146579,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,2,1,6,2,6,6,3,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.995702473603998,0.916336159631536,0.80494546368733,0.716643753314166,0.651279103411041,0.601311735841778,0.562033624849692,0.5044875879818,0.464525066031536,0.432162546820578,0.372009852734549,0.313567320294367,0.263002950535343,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",2007,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32950990589104,63.1134405614006,155.904545145451,426.229366825571,499.503911084455,409.261709433015,230.848910564355,0.614367389646304,0,0,0,0,0,1,0,0,0,1,2,1,2,1,2,2,2,6,0,2,3,6,5,1,4,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.948292362534449,0.890797603421591,0.843209065408405,0.801446893336333,0.743460520061084,0.691738014136357,0.612954624083326,0.533801224912682,0.46468805790276,0.388044413439992,0.318343261130325,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
