"","species","vital_rate","covars"
"1","ARTR","growth","T.sp.1,VWC.su.0"
"2","ARTR","recruitment","T.f.1"
"3","ARTR","survival","VWC.su.0,T.sp.1,VWC.sp.0,VWC.su.0xlogarea.t0"
"4","HECO","growth","VWC.su.0,VWC.su.1,VWC.su.1xlogarea.t0"
"5","HECO","recruitment","T.su.l"
"6","HECO","survival","VWC.f.l,VWC.sp.0,VWC.f.lxlogarea.t0"
"7","POSE","growth","T.su.l,T.su.lxlogarea.t0"
"8","POSE","recruitment","VWC.sp.1"
"9","POSE","survival","T.sp.1,T.su.l,VWC.f.l,VWC.sp.1,VWC.sp.0,T.sp.1xlogarea.t0,T.su.lxlogarea.t0,VWC.f.lxlogarea.t0,VWC.sp.1xlogarea.t0"
"10","PSSP","growth","T.su.1"
"11","PSSP","recruitment","VWC.su.l,VWC.su.0,T.sp.l"
"12","PSSP","survival","VWC.sp.l,VWC.f.l,VWC.sp.lxlogarea.t0,VWC.f.lxlogarea.t0"
